Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus;;;
12220009;Coxiella sp;Coxiella sp;Genus Coxiella (organism);;;22.12.2020;;;TA;1;Versioonis 2 lisatud;;;
57757007;Coxsackie viirus;Coxsackie viirus;Human coxsackievirus (organism);;;01.01.2013;;;TA;1;;;;
53744000;Coxsackie viirus tüüp A;Coxsackie viirus tüüp A;Human coxsackievirus A (organism);;;01.01.2013;;;TA;1;;;;
72254008;Coxsackie viirus tüüp A1;Coxsackie viirus tüüp A1;Human coxsackievirus A1 (organism);;;01.01.2013;;;TA;1;;;;
38203008;Coxsackie viirus tüüp A10;Coxsackie viirus tüüp A10;Human coxsackievirus A10 (organism);;;01.01.2013;;;TA;1;;;;
52657009;Coxsackie viirus tüüp A11;Coxsackie viirus tüüp A11;Human coxsackievirus A11 (organism);;;01.01.2013;;;TA;1;;;;
2793000;Coxsackie viirus tüüp A12;Coxsackie viirus tüüp A12;Human coxsackievirus A12 (organism);;;01.01.2013;;;TA;1;;;;
7543009;Coxsackie viirus tüüp A13;Coxsackie viirus tüüp A13;Human coxsackievirus A13 (organism);;;01.01.2013;;;TA;1;;;;
24747003;Coxsackie viirus tüüp A14;Coxsackie viirus tüüp A14;Human coxsackievirus A14 (organism);;;01.01.2013;;;TA;1;;;;
72593000;Coxsackie viirus tüüp A15;Coxsackie viirus tüüp A15;Human coxsackievirus A15 (organism);;;01.01.2013;;;TA;1;;;;
42067008;Coxsackie viirus tüüp A16;Coxsackie viirus tüüp A16;Human coxsackievirus A16 (organism);;;01.01.2013;;;TA;1;;;;
58445002;Coxsackie viirus tüüp A17;Coxsackie viirus tüüp A17;Human coxsackievirus A17 (organism);;;01.01.2013;;;TA;1;;;;
30840007;Coxsackie viirus tüüp A18;Coxsackie viirus tüüp A18;Human coxsackievirus A18 (organism);;;01.01.2013;;;TA;1;;;;
38889001;Coxsackie viirus tüüp A19;Coxsackie viirus tüüp A19;Human coxsackievirus A19 (organism);;;01.01.2013;;;TA;1;;;;
23831003;Coxsackie viirus tüüp A2;Coxsackie viirus tüüp A2;Human coxsackievirus A2 (organism);;;01.01.2013;;;TA;1;;;;
6771007;Coxsackie viirus tüüp A20;Coxsackie viirus tüüp A20;Human coxsackievirus A20 (organism);;;01.01.2013;;;TA;1;;;;
72597004;Coxsackie viirus tüüp A21;Coxsackie viirus tüüp A21;Human coxsackievirus A21 (organism);;;01.01.2013;;;TA;1;;;;
83593001;Coxsackie viirus tüüp A22;Coxsackie viirus tüüp A22;Human coxsackievirus A22 (organism);;;01.01.2013;;;TA;1;;;;
72877003;Coxsackie viirus tüüp A24;Coxsackie viirus tüüp A24;Human coxsackievirus A24 (organism);;;01.01.2013;;;TA;1;;;;
55982000;Coxsackie viirus tüüp A3;Coxsackie viirus tüüp A3;Human coxsackievirus A3 (organism);;;01.01.2013;;;TA;1;;;;
86886003;Coxsackie viirus tüüp A4;Coxsackie viirus tüüp A4;Human coxsackievirus A4 (organism);;;01.01.2013;;;TA;1;;;;
38219001;Coxsackie viirus tüüp A5;Coxsackie viirus tüüp A5;Human coxsackievirus A5 (organism);;;01.01.2013;;;TA;1;;;;
74924008;Coxsackie viirus tüüp A7;Coxsackie viirus tüüp A7;Human coxsackievirus A7 (organism);;;01.01.2013;;;TA;1;;;;
1293004;Coxsackie viirus tüüp A8;Coxsackie viirus tüüp A8;Human coxsackievirus A8 (organism);;;01.01.2013;;;TA;1;;;;
3096006;Coxsackie viirus tüüp A9;Coxsackie viirus tüüp A9;Human coxsackievirus A9 (organism);;;01.01.2013;;;TA;1;;;;
82059001;Coxsackie viirus tüüp B1;Coxsackie viirus tüüp B1;Human coxsackievirus B1 (organism);;;01.01.2013;;;TA;1;;;;
27555004;Coxsackie viirus tüüp B2;Coxsackie viirus tüüp B2;Human coxsackievirus B2 (organism);;;01.01.2013;;;TA;1;;;;
89585007;Coxsackie viirus tüüp B3;Coxsackie viirus tüüp B3;Human coxsackievirus B3 (organism);;;01.01.2013;;;TA;1;;;;
41988004;Coxsackie viirus tüüp B4;Coxsackie viirus tüüp B4;Human coxsackievirus B4 (organism);;;01.01.2013;;;TA;1;;;;
62408001;Coxsackie viirus tüüp B5;Coxsackie viirus tüüp B5;Human coxsackievirus B5 (organism);;;01.01.2013;;;TA;1;;;;
48171002;Coxsackie viirus tüüp B6;Coxsackie viirus tüüp B6;Human coxsackievirus B6 (organism);;;01.01.2013;;;TA;1;;;;
51504002;Cryptosporidium parvum;Cryptosporidium parvum;Cryptosporidium parvum (organism);;;01.01.2013;;;TA;1;;;;
83821001;Cryptosporidium sp;Cryptosporidium sp;Cryptosporidium (organism);;;22.12.2020;;;TA;1;Versioonis 2 lisatud;;;
34348001;Dengue viirus;Dengue viirus;Dengue virus (organism);;;01.01.2013;;;TA;1;;;;
83617006;D-hepatiidi viirus;D-hepatiidi viirus;Hepatitis D virus (organism);;;01.01.2013;;;TA;1;;;;
40406002;Diphyllobothrium latum;Diphyllobothrium latum;Diphyllobothrium latum (organism);;;01.01.2013;;;TA;1;;;;
116662007;Dobrava-Belgradi viirus;Dobrava-Belgradi viirus;Dobrava-Belgrade virus (organism);;;01.01.2013;;;TA;1;;;;
424206003;Ebolaviirus;Ebolaviirus;Genus Ebolavirus (organism);;;01.01.2013;;;TA;1;;;;
243672005;Echinococcus granulosus;Echinococcus granulosus;Echinococcus granulosus (organism);;;01.01.2013;;;TA;1;;;;
86648009;Echinococcus multilocularis;Echinococcus multilocularis;Echinococcus multilocularis (organism);;;01.01.2013;;;TA;1;;;;
47622006;Echinococcus sp;Echinococcus sp;Genus Echinococcus (organism);;;01.01.2013;;;TA;1;;;;
116395006;EHEC;EHEC;Enterohemorrhagic Escherichia coli (organism);;;01.01.2013;;22.12.2020;TA;1;Versioonis 2 muudetud nimetust: EHEC, Escherichia coli -> EHEC;;;
407284000;EHEC, serotüüp O104:H21;EHEC, serotüüp O104:H21;Enterohemorrhagic Escherichia coli, serotype O104:H21 (organism);;;01.01.2013;;22.12.2020;TA;1;Versioonis 2 muudetud nimetust: Enterohemorrhagic Escherichia coli, serotüüp O104 -> EHEC, serotüüp O104:H21;;;
407287007;EHEC, serotüüp O113:H21;EHEC, serotüüp O113:H21;Enterohemorrhagic Escherichia coli, serotype O113:H21 (organism);;;01.01.2013;;22.12.2020;TA;1;Versioonis 2 muudetud nimetust: Enterohemorrhagic Escherichia coli, serotüüp O113 -> EHEC, serotüüp O113:H21;;;
407290001;EHEC, serotüüp O118:H12;EHEC, serotüüp O118:H12;Enterohemorrhagic Escherichia coli, serotype O118:H12 (organism);;;01.01.2013;;22.12.2020;TA;1;Versioonis 2 muudetud nimetust: Enterohemorrhagic Escherichia coli, serotüüp O118 -> EHEC, serotüüp O118:H12;;;
407291002;EHEC, serotüüp O118:H16;EHEC, serotüüp O118:H16;Enterohemorrhagic Escherichia coli, serotype O118:H16 (organism);;;01.01.2013;;22.12.2020;TA;1;Versioonis 2 muudetud nimetust: Enterohemorrhagic Escherichia coli, serotüüp O118 -> EHEC, serotüüp O118:H16;;;
407289005;EHEC, serotüüp O118:H2;EHEC, serotüüp O118:H2;Enterohemorrhagic Escherichia coli, serotype O118:H2 (organism);;;01.01.2013;;22.12.2020;TA;1;Versioonis 2 muudetud nimetust: Enterohemorrhagic Escherichia coli, serotüüp O118 -> EHEC, serotüüp O118:H2;;;
407294005;EHEC, serotüüp O128: liikumatu;EHEC, serotüüp O128: liikumatu;Enterohemorrhagic Escherichia coli, serotype O128:nonmotile (organism);;;01.01.2013;;22.12.2020;TA;1;Versioonis 2 muudetud nimetust: Enterohemorrhagic Escherichia coli, serotüüp O128 -> EHEC, serotüüp O128: liikumatu;;;
407222004;EHEC, serotüüp O128:H2;EHEC, serotüüp O128:H2;Enterohemorrhagic Escherichia coli, serotype O128:H2 (organism);;;01.01.2013;;22.12.2020;TA;1;Versioonis 2 muudetud nimetust: Enterohemorrhagic Escherichia coli, serotüüp O128 -> EHEC, serotüüp O128:H2;;;
407295006;EHEC, serotüüp O128:H45;EHEC, serotüüp O128:H45;Enterohemorrhagic Escherichia coli, serotype O128:H45 (organism);;;01.01.2013;;22.12.2020;TA;1;Versioonis 2 muudetud nimetust: Enterohemorrhagic Escherichia coli, serotüüp O128 -> EHEC, serotüüp O128:H45;;;
124994003;EHEC, serotüüp O157: liikumatu;EHEC, serotüüp O157: liikumatu;Enterohemorrhagic Escherichia coli, serotype O157:non-motile (organism);;;01.01.2013;;22.12.2020;TA;1;Versioonis 2 muudetud nimetust: EHEC, serotüüp O157 -> EHEC, serotüüp O157: liikumatu;;;
103429008;EHEC, serotüüp O157:H7;EHEC, serotüüp O157:H7;Enterohemorrhagic Escherichia coli, serotype O157:H7 (organism);;;01.01.2013;;22.12.2020;TA;1;Versioonis 2 muudetud nimetust: Enterohemorrhagic Escherichia coli, serotüüp O157 -> EHEC, serotüüp O157:H7;;;
78475006;E-hepatiidi viirus;E-hepatiidi viirus;Hepatitis E virus (organism);;;01.01.2013;;;TA;1;;;;
27334000;Ehrlichia sp;Ehrlichia sp;Genus Ehrlichia (organism);;;22.12.2020;;;TA;1;Versioonis 2 lisatud, asendab kehtetuks tunnistatud väärtust koodiga 131415000;;;
131415000;Ehrlichia sp.;Ehrlichia sp.;Ehrlichia sp.;;;01.01.2013;22.12.2020;;TA;0;Versioonis 2 tunnistatud kehtetuks, seda asendab väärtus koodiga 27334000;;;
116396007;EIEC;EIEC;Enteroinvasive Escherichia coli (organism);;;01.01.2013;;22.12.2020;TA;1;Versioonis 2 muudetud nimetust: EIEC, Escherichia coli -> EIEC;;;
407248007;EIEC, serotüüp O selguseta: liikumatu;EIEC, serotüüp O selguseta: liikumatu;Enteroinvasive Escherichia coli, serotype O not typeable:nonmotile (organism);;;01.01.2013;22.12.2020;;TA;0;Versioonis 2 muudetud kehtetuks.;;;
4716008;Entamoeba histolytica;Entamoeba histolytica;Entamoeba histolytica (organism);;;01.01.2013;;;TA;1;;;;
363769000;Entamoeba histolytica/Entamoeba dispar complex;Entamoeba histolytica/Entamoeba dispar complex;Entamoeba histolytica/Entamoeba dispar complex (organism);;;01.01.2013;;22.12.2020;TA;1;Versioonis 2 muudetud nimetust: Entamoeba histolytica/dispar -> Entamoeba histolytica/Entamoeba dispar complex;;;
38324000;Entamoeba sp;Entamoeba sp;Entamoeba (organism);;;22.12.2020;;;TA;1;Versioonis 2 lisatud, asendab kehtetuks tunnistatud väärtust koodiga 372407009;;;
372407009;Entamoeba sp.;Entamoeba sp.;Entamoeba sp.;;;01.01.2013;22.12.2020;;TA;0;Versioonis 2 tunnistatud kehtetuks, seda asendab väärtus koodiga 38324000;;;
114452005;Enterobacter amnigenus biogrupp 1;Enterobacter amnigenus biogrupp 1;Enterobacter amnigenus biogroup I (organism);;;01.01.2013;;;TA;1;;;;
114453000;Enterobacter amnigenus biogrupp 2;Enterobacter amnigenus biogrupp 2;Enterobacter amnigenus biogroup II (organism);;;01.01.2013;;;TA;1;;;;
33115003;Enterobacter asburiae;Enterobacter asburiae;Enterobacter asburiae (organism);;;01.01.2013;;;TA;1;;;;
114451003;Enterobacter cancerogenus;Enterobacter cancerogenus;Enterobacter cancerogenus (organism);;;01.01.2013;;;TA;1;;;;
14385002;Enterobacter cloacae;Enterobacter cloacae;Enterobacter cloacae (organism);;;01.01.2013;;;TA;1;;;;
414102007;Enterobacter cloacae complex;Enterobacter cloacae complex;Enterobacter cloacae complex (organism);;;01.01.2013;;;TA;1;;;;
56813009;Enterobacter cloacae ssp dissolvens;Enterobacter cloacae ssp dissolvens;Enterobacter cloacae subspecies dissolvens (organism);;;01.01.2013;;22.12.2020;TA;1;Versioonis 2 muudetud nimetust: Enterobacter dissolvens -> Enterobacter cloacae ssp dissolvens;;;
5381002;Enterobacter gergoviae;Enterobacter gergoviae;Enterobacter gergoviae;;;01.01.2013;22.12.2020;;TA;0;Versioonis 2 tunnistatud kehtetuks, seda asendab väärtus koodiga 716346000;;;
114454006;Enterobacter hormaechei;Enterobacter hormaechei;Enterobacter hormaechei (organism);;;01.01.2013;;22.12.2020;TA;1;Versioonis 2 muudetud nimetust: Enterobacter hormaechi -> Enterobacter hormaechei;;;
35165009;Enterobacter intermedius;Enterobacter intermedius;Enterobacter intermedius (organism);;;01.01.2013;22.12.2020;;TA;0;Versioonis 2 tunnistatud kehtetuks, seda asendab väärtus koodiga 431977008;;;
114456008;Enterobacter kobei;Enterobacter kobei;Enterobacter kobei (organism);;;01.01.2013;;;TA;1;;;;
432763001;Enterobacter ludwigii;Enterobacter ludwigii;Enterobacter ludwigii (organism);;;01.01.2013;;;TA;1;;;;
114455007;Enterobacter pyrinus;Enterobacter pyrinus;Pluralibacter pyrinus (organism);;;01.01.2013;;;TA;1;;;;
58683007;Enterobacter sp;Enterobacter sp;Genus Enterobacter (organism);;;01.01.2013;;;TA;1;;;;
87875008;Enterococcus avium;Enterococcus avium;Enterococcus avium (organism);;;01.01.2013;;;TA;1;;;;
