CODE;PARENT_CODE;ITEM_LEVEL;NAME_ET;NAME_EN;NAME_RU;SHORTNAME_ET;SHORTNAME_EN;SHORTNAME_RU;DESCRIPTION_ET;DESCRIPTION_EN;DESCRIPTION_RU;INCLUDES_ET;INCLUDES_EN;INCLUDES_RU;INCLUDES_ALSO_ET;INCLUDES_ALSO_EN;INCLUDES_ALSO_RU;EXCLUDES_ET;EXCLUDES_EN;EXCLUDES_RU;NOTES;MEAS_UNIT;ALTTEXT_ET;ALTTEXT_EN;ALTTEXT_RU;VALIDFROM;VALIDTO
8061;0205;3;Taguküla;Taguküla village;??????? ????????;;;;Hiiu maakond, Hiiumaa vald, Taguküla;Hiiu county, Hiiumaa rural municipality, Taguküla village;???????? ????, ??????? ???????, ??????? ????????;;;;;;;;;;;;;;;;
8064;0855;3;Tagula küla;Tagula village;??????? ??????;;;;Valga maakond, Valga vald, Tagula küla;Valga county, Valga rural municipality, Tagula village;????????? ????, ??????? ?????, ??????? ??????;;;;;;;;;;;;;;;;
8066;0586;3;Tagumaa küla;Tagumaa village;??????? ???????;;;;Tartu maakond, Peipsiääre vald, Tagumaa küla;Tartu county, Peipsiääre rural municipality, Tagumaa village;????????? ????, ??????? ??????????, ??????? ???????;;;;;;;;;;;;;;;;
8067;0205;3;Tahkuna küla;Tahkuna village;??????? ???????;;;;Hiiu maakond, Hiiumaa vald, Tahkuna küla;Hiiu county, Hiiumaa rural municipality, Tahkuna village;???????? ????, ??????? ???????, ??????? ???????;;;;;;;;;;;;;;;;
8069;0855;3;Taheva küla;Taheva village;??????? ??????;;;;Valga maakond, Valga vald, Taheva küla;Valga county, Valga rural municipality, Taheva village;????????? ????, ??????? ?????, ??????? ??????;;;;;;;;;;;;;;;;
8072;0214;3;Tahkuranna küla;Tahkuranna village;??????? ??????????;;;;Pärnu maakond, Häädemeeste vald, Tahkuranna küla;Pärnu county, Häädemeeste rural municipality, Tahkuranna village;????????? ????, ??????? ???????????, ??????? ??????????;;;;;;;;;;;;;;;;
8074;0441;3;Tahu küla / Skåtanäs;Tahu / Skåtanäs village;??????? ???? / ????????;;;;Lääne maakond, Lääne-Nigula vald, Tahu küla / Skåtanäs;Lääne county, Lääne-Nigula rural municipality, Tahu / Skåtanäs village;????????? ????, ??????? ?????-??????, ??????? ???? / ????????;;;;;;;;;;;;;;;;
8076;0714;3;Tahula küla;Tahula village;??????? ??????;;;;Saare maakond, Saaremaa vald, Tahula küla;Saare county, Saaremaa rural municipality, Tahula village;????????? ????, ??????? ????????, ??????? ??????;;;;;;;;;;;;;;;;
8078;0834;3;Taikse küla;Taikse village;??????? ??????;;;;Järva maakond, Türi vald, Taikse küla;Järva county, Türi rural municipality, Taikse village;???????? ????, ??????? ????, ??????? ??????;;;;;;;;;;;;;;;;
8079;0732;3;Talka küla;Talka village;??????? ?????;;;;Võru maakond, Setomaa vald, Talka küla;Võru county, Setomaa rural municipality, Talka village;???????? ????, ??????? ???????, ??????? ?????;;;;;;;;;;;;;;;;
