Vanus (kuudes);Norm;Sugu;Graafik (vanus);Graafik (tyyp);Tsentiil
0;2,6;P;alla 2a;mass;3
1;3,5;P;alla 2a;mass;3
2;4,3;P;alla 2a;mass;3
3;4,9;P;alla 2a;mass;3
4;5,6;P;alla 2a;mass;3
5;6,2;P;alla 2a;mass;3
6;6,7;P;alla 2a;mass;3
7;7,1;P;alla 2a;mass;3
8;7,5;P;alla 2a;mass;3
9;7,9;P;alla 2a;mass;3
10;8,2;P;alla 2a;mass;3
11;8,5;P;alla 2a;mass;3
12;8,8;P;alla 2a;mass;3
13;9;P;alla 2a;mass;3
14;9,2;P;alla 2a;mass;3
15;9,4;P;alla 2a;mass;3
16;9,6;P;alla 2a;mass;3
17;9,8;P;alla 2a;mass;3
18;9,9;P;alla 2a;mass;3
19;10,1;P;alla 2a;mass;3
20;10,2;P;alla 2a;mass;3
21;10,4;P;alla 2a;mass;3
22;10,5;P;alla 2a;mass;3
23;10,7;P;alla 2a;mass;3
24;10,8;P;alla 2a;mass;3
0;3;P;alla 2a;mass;10
1;3,9;P;alla 2a;mass;10
2;4,8;P;alla 2a;mass;10
3;5,4;P;alla 2a;mass;10
4;6;P;alla 2a;mass;10
5;6,8;P;alla 2a;mass;10
6;7,25;P;alla 2a;mass;10
7;7,6;P;alla 2a;mass;10
8;8,1;P;alla 2a;mass;10
9;8,5;P;alla 2a;mass;10
10;8,8;P;alla 2a;mass;10
11;9,1;P;alla 2a;mass;10
12;9,3;P;alla 2a;mass;10
13;9,5;P;alla 2a;mass;10
14;9,7;P;alla 2a;mass;10
15;9,9;P;alla 2a;mass;10
16;10,1;P;alla 2a;mass;10
17;10,3;P;alla 2a;mass;10
18;10,5;P;alla 2a;mass;10
19;10,6;P;alla 2a;mass;10
20;10,8;P;alla 2a;mass;10
21;11;P;alla 2a;mass;10
22;11,15;P;alla 2a;mass;10
23;11,25;P;alla 2a;mass;10
24;11,45;P;alla 2a;mass;10
0;3,4;P;alla 2a;mass;25
1;4,3;P;alla 2a;mass;25
2;5,1;P;alla 2a;mass;25
3;5,9;P;alla 2a;mass;25
4;6,6;P;alla 2a;mass;25
5;7,2;P;alla 2a;mass;25
6;7,8;P;alla 2a;mass;25
7;8,3;P;alla 2a;mass;25
8;8,7;P;alla 2a;mass;25
9;9,1;P;alla 2a;mass;25
10;9,4;P;alla 2a;mass;25
11;9,7;P;alla 2a;mass;25
12;9,9;P;alla 2a;mass;25
13;10,2;P;alla 2a;mass;25
14;10,35;P;alla 2a;mass;25
15;10,6;P;alla 2a;mass;25
16;10,9;P;alla 2a;mass;25
17;11,1;P;alla 2a;mass;25
18;11,3;P;alla 2a;mass;25
19;11,5;P;alla 2a;mass;25
20;11,7;P;alla 2a;mass;25
21;11,9;P;alla 2a;mass;25
22;12;P;alla 2a;mass;25
23;12,2;P;alla 2a;mass;25
24;12,4;P;alla 2a;mass;25
0;3,7;P;alla 2a;mass;50
1;4,7;P;alla 2a;mass;50
2;5,5;P;alla 2a;mass;50
3;6,3;P;alla 2a;mass;50
4;7;P;alla 2a;mass;50
5;7,8;P;alla 2a;mass;50
6;8,4;P;alla 2a;mass;50
7;8,9;P;alla 2a;mass;50
8;9,4;P;alla 2a;mass;50
9;9,8;P;alla 2a;mass;50
10;10,1;P;alla 2a;mass;50
11;10,4;P;alla 2a;mass;50
12;10,6;P;alla 2a;mass;50
13;10,9;P;alla 2a;mass;50
14;11,1;P;alla 2a;mass;50
15;11,4;P;alla 2a;mass;50
16;11,7;P;alla 2a;mass;50
17;11,9;P;alla 2a;mass;50
18;12,1;P;alla 2a;mass;50
19;12,4;P;alla 2a;mass;50
20;12,6;P;alla 2a;mass;50
21;12,8;P;alla 2a;mass;50
22;13;P;alla 2a;mass;50
23;13,1;P;alla 2a;mass;50
24;13,4;P;alla 2a;mass;50
0;4;P;alla 2a;mass;75
1;5;P;alla 2a;mass;75
2;5,9;P;alla 2a;mass;75
3;6,85;P;alla 2a;mass;75
4;7,55;P;alla 2a;mass;75
5;8,4;P;alla 2a;mass;75
6;8,9;P;alla 2a;mass;75
7;9,5;P;alla 2a;mass;75
8;9,9;P;alla 2a;mass;75
9;10,3;P;alla 2a;mass;75
10;10,8;P;alla 2a;mass;75
11;11,1;P;alla 2a;mass;75
12;11,4;P;alla 2a;mass;75
13;11,8;P;alla 2a;mass;75
14;12;P;alla 2a;mass;75
15;12,3;P;alla 2a;mass;75
16;12,5;P;alla 2a;mass;75
17;12,7;P;alla 2a;mass;75
18;12,9;P;alla 2a;mass;75
19;13,1;P;alla 2a;mass;75
20;13,4;P;alla 2a;mass;75
21;13,6;P;alla 2a;mass;75
22;13,8;P;alla 2a;mass;75
23;14,1;P;alla 2a;mass;75
24;14,4;P;alla 2a;mass;75
0;4,45;P;alla 2a;mass;90
1;5,4;P;alla 2a;mass;90
2;6,3;P;alla 2a;mass;90
3;7,3;P;alla 2a;mass;90
4;8,1;P;alla 2a;mass;90
5;8,9;P;alla 2a;mass;90
6;9,6;P;alla 2a;mass;90
7;10,1;P;alla 2a;mass;90
8;10,7;P;alla 2a;mass;90
9;11,1;P;alla 2a;mass;90
10;11,5;P;alla 2a;mass;90
11;11,9;P;alla 2a;mass;90
12;12,2;P;alla 2a;mass;90
13;12,6;P;alla 2a;mass;90
14;12,9;P;alla 2a;mass;90
15;13,1;P;alla 2a;mass;90
16;13,4;P;alla 2a;mass;90
17;13,7;P;alla 2a;mass;90
18;13,9;P;alla 2a;mass;90
19;14,1;P;alla 2a;mass;90
20;14,4;P;alla 2a;mass;90
21;14,6;P;alla 2a;mass;90
22;14,8;P;alla 2a;mass;90
23;15;P;alla 2a;mass;90
24;15,2;P;alla 2a;mass;90
0;4,8;P;alla 2a;mass;97
1;5,8;P;alla 2a;mass;97
2;6,9;P;alla 2a;mass;97
3;7,9;P;alla 2a;mass;97
4;8,8;P;alla 2a;mass;97
5;9,6;P;alla 2a;mass;97
6;10,2;P;alla 2a;mass;97
7;10,9;P;alla 2a;mass;97
8;11,5;P;alla 2a;mass;97
9;11,9;P;alla 2a;mass;97
10;12,35;P;alla 2a;mass;97
11;12,75;P;alla 2a;mass;97
12;13;P;alla 2a;mass;97
13;13,4;P;alla 2a;mass;97
14;13,7;P;alla 2a;mass;97
15;14;P;alla 2a;mass;97
16;14,2;P;alla 2a;mass;97
17;14,5;P;alla 2a;mass;97
18;14,75;P;alla 2a;mass;97
19;14,95;P;alla 2a;mass;97
20;15,15;P;alla 2a;mass;97
21;15,4;P;alla 2a;mass;97
22;15,7;P;alla 2a;mass;97
23;15,9;P;alla 2a;mass;97
24;16,2;P;alla 2a;mass;97
0;48;P;alla 2a;pikkus;3
1;51;P;alla 2a;pikkus;3
2;53,8;P;alla 2a;pikkus;3
3;56,8;P;alla 2a;pikkus;3
4;59,1;P;alla 2a;pikkus;3
5;61,15;P;alla 2a;pikkus;3
6;63,69;P;alla 2a;pikkus;3
7;65,1;P;alla 2a;pikkus;3
8;66,8;P;alla 2a;pikkus;3
9;68;P;alla 2a;pikkus;3
10;69;P;alla 2a;pikkus;3
11;70,3;P;alla 2a;pikkus;3
12;71,8;P;alla 2a;pikkus;3
13;72,8;P;alla 2a;pikkus;3
14;73,8;P;alla 2a;pikkus;3
15;74,2;P;alla 2a;pikkus;3
16;75;P;alla 2a;pikkus;3
17;75,8;P;alla 2a;pikkus;3
18;76,2;P;alla 2a;pikkus;3
19;77;P;alla 2a;pikkus;3
20;77,8;P;alla 2a;pikkus;3
21;78,2;P;alla 2a;pikkus;3
22;79;P;alla 2a;pikkus;3
23;79,8;P;alla 2a;pikkus;3
24;80,8;P;alla 2a;pikkus;3
0;49,3;P;alla 2a;pikkus;10
1;52,3;P;alla 2a;pikkus;10
2;55,3;P;alla 2a;pikkus;10
3;58,2;P;alla 2a;pikkus;10
4;61;P;alla 2a;pikkus;10
5;63,6;P;alla 2a;pikkus;10
6;65,7;P;alla 2a;pikkus;10
7;67;P;alla 2a;pikkus;10
8;68,8;P;alla 2a;pikkus;10
9;70;P;alla 2a;pikkus;10
10;71,1;P;alla 2a;pikkus;10
11;72,7;P;alla 2a;pikkus;10
12;73,8;P;alla 2a;pikkus;10
13;74,8;P;alla 2a;pikkus;10
14;75,8;P;alla 2a;pikkus;10
15;76,8;P;alla 2a;pikkus;10
16;77,7;P;alla 2a;pikkus;10
17;78;P;alla 2a;pikkus;10
18;79;P;alla 2a;pikkus;10
19;79,5;P;alla 2a;pikkus;10
20;80,3;P;alla 2a;pikkus;10
21;81;P;alla 2a;pikkus;10
22;82;P;alla 2a;pikkus;10
23;83;P;alla 2a;pikkus;10
24;83,6;P;alla 2a;pikkus;10
0;51;P;alla 2a;pikkus;25
1;54;P;alla 2a;pikkus;25
2;57;P;alla 2a;pikkus;25
3;60;P;alla 2a;pikkus;25
4;62,9;P;alla 2a;pikkus;25
5;65,1;P;alla 2a;pikkus;25
6;67,5;P;alla 2a;pikkus;25
7;68,8;P;alla 2a;pikkus;25
8;70,5;P;alla 2a;pikkus;25
9;71,5;P;alla 2a;pikkus;25
10;73;P;alla 2a;pikkus;25
11;74;P;alla 2a;pikkus;25
12;75,2;P;alla 2a;pikkus;25
13;76,2;P;alla 2a;pikkus;25
14;77,8;P;alla 2a;pikkus;25
15;78,5;P;alla 2a;pikkus;25
16;79,5;P;alla 2a;pikkus;25
17;80;P;alla 2a;pikkus;25
18;81;P;alla 2a;pikkus;25
19;82;P;alla 2a;pikkus;25
20;83;P;alla 2a;pikkus;25
21;83,8;P;alla 2a;pikkus;25
22;84,5;P;alla 2a;pikkus;25
23;85,15;P;alla 2a;pikkus;25
24;86;P;alla 2a;pikkus;25
0;52,6;P;alla 2a;pikkus;50
1;55,5;P;alla 2a;pikkus;50
2;58,8;P;alla 2a;pikkus;50
3;61,8;P;alla 2a;pikkus;50
4;64;P;alla 2a;pikkus;50
5;66,8;P;alla 2a;pikkus;50
6;69;P;alla 2a;pikkus;50
7;70,29;P;alla 2a;pikkus;50
8;71,8;P;alla 2a;pikkus;50
9;73,3;P;alla 2a;pikkus;50
10;74,3;P;alla 2a;pikkus;50
11;75,8;P;alla 2a;pikkus;50
12;77;P;alla 2a;pikkus;50
13;78;P;alla 2a;pikkus;50
14;79;P;alla 2a;pikkus;50
15;80;P;alla 2a;pikkus;50
16;81;P;alla 2a;pikkus;50
17;82;P;alla 2a;pikkus;50
18;83;P;alla 2a;pikkus;50
19;84;P;alla 2a;pikkus;50
20;85;P;alla 2a;pikkus;50
21;86;P;alla 2a;pikkus;50
22;87;P;alla 2a;pikkus;50
23;87,8;P;alla 2a;pikkus;50
24;88,8;P;alla 2a;pikkus;50
0;53,8;P;alla 2a;pikkus;75
1;57;P;alla 2a;pikkus;75
2;60;P;alla 2a;pikkus;75
3;63;P;alla 2a;pikkus;75
4;65,8;P;alla 2a;pikkus;75
5;68;P;alla 2a;pikkus;75
6;70;P;alla 2a;pikkus;75
7;71,8;P;alla 2a;pikkus;75
8;73,3;P;alla 2a;pikkus;75
9;75;P;alla 2a;pikkus;75
10;76,2;P;alla 2a;pikkus;75
11;77,95;P;alla 2a;pikkus;75
12;79;P;alla 2a;pikkus;75
13;80;P;alla 2a;pikkus;75
14;81;P;alla 2a;pikkus;75
15;82;P;alla 2a;pikkus;75
16;83;P;alla 2a;pikkus;75
17;84;P;alla 2a;pikkus;75
18;85,3;P;alla 2a;pikkus;75
19;86,3;P;alla 2a;pikkus;75
20;87,3;P;alla 2a;pikkus;75
21;88;P;alla 2a;pikkus;75
22;89;P;alla 2a;pikkus;75
23;90;P;alla 2a;pikkus;75
24;91;P;alla 2a;pikkus;75
0;55,3;P;alla 2a;pikkus;90
1;58,3;P;alla 2a;pikkus;90
2;61,2;P;alla 2a;pikkus;90
3;64,2;P;alla 2a;pikkus;90
4;67;P;alla 2a;pikkus;90
5;69,8;P;alla 2a;pikkus;90
6;71,8;P;alla 2a;pikkus;90
7;73,8;P;alla 2a;pikkus;90
8;75;P;alla 2a;pikkus;90
9;77;P;alla 2a;pikkus;90
10;78;P;alla 2a;pikkus;90
11;79,8;P;alla 2a;pikkus;90
12;81;P;alla 2a;pikkus;90
13;82;P;alla 2a;pikkus;90
14;83;P;alla 2a;pikkus;90
15;84;P;alla 2a;pikkus;90
16;85,5;P;alla 2a;pikkus;90
17;86,5;P;alla 2a;pikkus;90
18;87,5;P;alla 2a;pikkus;90
19;88,5;P;alla 2a;pikkus;90
20;89,5;P;alla 2a;pikkus;90
21;90,5;P;alla 2a;pikkus;90
22;91,3;P;alla 2a;pikkus;90
23;92;P;alla 2a;pikkus;90
24;93;P;alla 2a;pikkus;90
0;56,8;P;alla 2a;pikkus;97
1;60;P;alla 2a;pikkus;97
2;63;P;alla 2a;pikkus;97
3;66;P;alla 2a;pikkus;97
4;69;P;alla 2a;pikkus;97
5;71,3;P;alla 2a;pikkus;97
6;73,8;P;alla 2a;pikkus;97
7;75,3;P;alla 2a;pikkus;97
8;77;P;alla 2a;pikkus;97
9;79;P;alla 2a;pikkus;97
10;80,25;P;alla 2a;pikkus;97
11;81,8;P;alla 2a;pikkus;97
12;82,8;P;alla 2a;pikkus;97
13;84;P;alla 2a;pikkus;97
14;85;P;alla 2a;pikkus;97
15;86,2;P;alla 2a;pikkus;97
16;87,8;P;alla 2a;pikkus;97
17;88,8;P;alla 2a;pikkus;97
18;89,8;P;alla 2a;pikkus;97
19;91;P;alla 2a;pikkus;97
20;92;P;alla 2a;pikkus;97
21;93;P;alla 2a;pikkus;97
22;93,8;P;alla 2a;pikkus;97
23;94,8;P;alla 2a;pikkus;97
24;95,8;P;alla 2a;pikkus;97
0;2,6;T;alla 2a;mass;3
1;3,3;T;alla 2a;mass;3
2;4;T;alla 2a;mass;3
3;4,65;T;alla 2a;mass;3
4;5,15;T;alla 2a;mass;3
5;5,8;T;alla 2a;mass;3
6;6,3;T;alla 2a;mass;3
7;6,7;T;alla 2a;mass;3
8;7;T;alla 2a;mass;3
9;7,35;T;alla 2a;mass;3
10;7,7;T;alla 2a;mass;3
11;7,9;T;alla 2a;mass;3
12;8,2;T;alla 2a;mass;3
13;8,4;T;alla 2a;mass;3
14;8,6;T;alla 2a;mass;3
15;8,8;T;alla 2a;mass;3
16;9;T;alla 2a;mass;3
17;9,1;T;alla 2a;mass;3
18;9,3;T;alla 2a;mass;3
19;9,5;T;alla 2a;mass;3
20;9,7;T;alla 2a;mass;3
21;9,8;T;alla 2a;mass;3
22;9,9;T;alla 2a;mass;3
23;10;T;alla 2a;mass;3
24;10,1;T;alla 2a;mass;3
0;2,9;T;alla 2a;mass;10
1;3,7;T;alla 2a;mass;10
2;4,5;T;alla 2a;mass;10
3;5,1;T;alla 2a;mass;10
4;5,7;T;alla 2a;mass;10
5;6,2;T;alla 2a;mass;10
6;6,8;T;alla 2a;mass;10
7;7,1;T;alla 2a;mass;10
8;7,5;T;alla 2a;mass;10
9;7,9;T;alla 2a;mass;10
10;8,2;T;alla 2a;mass;10
11;8,5;T;alla 2a;mass;10
12;8,8;T;alla 2a;mass;10
13;9;T;alla 2a;mass;10
14;9,2;T;alla 2a;mass;10
15;9,3;T;alla 2a;mass;10
16;9,5;T;alla 2a;mass;10
17;9,7;T;alla 2a;mass;10
18;9,9;T;alla 2a;mass;10
19;10;T;alla 2a;mass;10
20;10,2;T;alla 2a;mass;10
21;10,4;T;alla 2a;mass;10
22;10,5;T;alla 2a;mass;10
23;10,7;T;alla 2a;mass;10
24;10,9;T;alla 2a;mass;10
0;3,2;T;alla 2a;mass;25
1;4;T;alla 2a;mass;25
2;4,8;T;alla 2a;mass;25
3;5,5;T;alla 2a;mass;25
4;6,1;T;alla 2a;mass;25
5;6,75;T;alla 2a;mass;25
6;7,25;T;alla 2a;mass;25
7;7,7;T;alla 2a;mass;25
8;8,1;T;alla 2a;mass;25
9;8,5;T;alla 2a;mass;25
10;8,8;T;alla 2a;mass;25
11;9,1;T;alla 2a;mass;25
12;9,4;T;alla 2a;mass;25
13;9,7;T;alla 2a;mass;25
14;9,9;T;alla 2a;mass;25
15;10,05;T;alla 2a;mass;25
16;10,25;T;alla 2a;mass;25
17;10,5;T;alla 2a;mass;25
18;10,7;T;alla 2a;mass;25
19;10,9;T;alla 2a;mass;25
20;11;T;alla 2a;mass;25
21;11,2;T;alla 2a;mass;25
22;11,4;T;alla 2a;mass;25
23;11,6;T;alla 2a;mass;25
24;11,8;T;alla 2a;mass;25
0;3,5;T;alla 2a;mass;50
1;4,4;T;alla 2a;mass;50
2;5,1;T;alla 2a;mass;50
3;5,9;T;alla 2a;mass;50
4;6,5;T;alla 2a;mass;50
5;7,15;T;alla 2a;mass;50
6;7,8;T;alla 2a;mass;50
7;8,2;T;alla 2a;mass;50
8;8,7;T;alla 2a;mass;50
9;9;T;alla 2a;mass;50
10;9,4;T;alla 2a;mass;50
11;9,7;T;alla 2a;mass;50
12;10;T;alla 2a;mass;50
13;10,2;T;alla 2a;mass;50
14;10,5;T;alla 2a;mass;50
15;10,7;T;alla 2a;mass;50
16;10,9;T;alla 2a;mass;50
17;11,1;T;alla 2a;mass;50
18;11,3;T;alla 2a;mass;50
19;11,5;T;alla 2a;mass;50
20;11,7;T;alla 2a;mass;50
21;11,9;T;alla 2a;mass;50
22;12;T;alla 2a;mass;50
23;12,3;T;alla 2a;mass;50
24;12,5;T;alla 2a;mass;50
0;3,9;T;alla 2a;mass;75
1;4,7;T;alla 2a;mass;75
2;5,5;T;alla 2a;mass;75
3;6,3;T;alla 2a;mass;75
4;7;T;alla 2a;mass;75
5;7,7;T;alla 2a;mass;75
6;8,3;T;alla 2a;mass;75
7;8,9;T;alla 2a;mass;75
8;9,3;T;alla 2a;mass;75
9;9,8;T;alla 2a;mass;75
10;10,1;T;alla 2a;mass;75
11;10,4;T;alla 2a;mass;75
12;10,7;T;alla 2a;mass;75
13;11,05;T;alla 2a;mass;75
14;11,25;T;alla 2a;mass;75
15;11,55;T;alla 2a;mass;75
16;11,8;T;alla 2a;mass;75
17;12;T;alla 2a;mass;75
18;12,25;T;alla 2a;mass;75
19;12,5;T;alla 2a;mass;75
20;12,6;T;alla 2a;mass;75
21;12,9;T;alla 2a;mass;75
22;13,25;T;alla 2a;mass;75
23;13,4;T;alla 2a;mass;75
24;13,7;T;alla 2a;mass;75
0;4,2;T;alla 2a;mass;90
1;5;T;alla 2a;mass;90
2;5,9;T;alla 2a;mass;90
3;6,8;T;alla 2a;mass;90
4;7,5;T;alla 2a;mass;90
5;8,3;T;alla 2a;mass;90
6;8,9;T;alla 2a;mass;90
7;9,5;T;alla 2a;mass;90
8;10;T;alla 2a;mass;90
9;10,4;T;alla 2a;mass;90
10;10,8;T;alla 2a;mass;90
11;11,1;T;alla 2a;mass;90
12;11,5;T;alla 2a;mass;90
13;11,7;T;alla 2a;mass;90
14;12;T;alla 2a;mass;90
15;12,25;T;alla 2a;mass;90
16;12,5;T;alla 2a;mass;90
17;12,8;T;alla 2a;mass;90
18;13,05;T;alla 2a;mass;90
19;13,35;T;alla 2a;mass;90
20;13,7;T;alla 2a;mass;90
21;13,9;T;alla 2a;mass;90
22;14,15;T;alla 2a;mass;90
23;14,5;T;alla 2a;mass;90
24;14,7;T;alla 2a;mass;90
0;4,5;T;alla 2a;mass;97
1;5,3;T;alla 2a;mass;97
2;6,2;T;alla 2a;mass;97
3;7,1;T;alla 2a;mass;97
4;7,9;T;alla 2a;mass;97
5;8,8;T;alla 2a;mass;97
6;9,5;T;alla 2a;mass;97
7;10;T;alla 2a;mass;97
8;10,7;T;alla 2a;mass;97
9;11,1;T;alla 2a;mass;97
10;11,65;T;alla 2a;mass;97
11;12;T;alla 2a;mass;97
12;12,3;T;alla 2a;mass;97
13;12,7;T;alla 2a;mass;97
14;13;T;alla 2a;mass;97
15;13,25;T;alla 2a;mass;97
16;13,6;T;alla 2a;mass;97
17;13,9;T;alla 2a;mass;97
18;14,15;T;alla 2a;mass;97
19;14,5;T;alla 2a;mass;97
20;14,8;T;alla 2a;mass;97
21;15,05;T;alla 2a;mass;97
22;15,4;T;alla 2a;mass;97
23;15,7;T;alla 2a;mass;97
24;16;T;alla 2a;mass;97
0;47;T;alla 2a;pikkus;3
1;50;T;alla 2a;pikkus;3
2;53;T;alla 2a;pikkus;3
3;56;T;alla 2a;pikkus;3
4;58;T;alla 2a;pikkus;3
5;60;T;alla 2a;pikkus;3
6;62;T;alla 2a;pikkus;3
7;64;T;alla 2a;pikkus;3
8;65,8;T;alla 2a;pikkus;3
9;67;T;alla 2a;pikkus;3
10;68;T;alla 2a;pikkus;3
11;69,1;T;alla 2a;pikkus;3
12;70,1;T;alla 2a;pikkus;3
13;71,1;T;alla 2a;pikkus;3
14;72;T;alla 2a;pikkus;3
15;73;T;alla 2a;pikkus;3
16;74;T;alla 2a;pikkus;3
17;75;T;alla 2a;pikkus;3
18;75,8;T;alla 2a;pikkus;3
19;76,3;T;alla 2a;pikkus;3
20;77;T;alla 2a;pikkus;3
21;77,8;T;alla 2a;pikkus;3
22;78,5;T;alla 2a;pikkus;3
23;79;T;alla 2a;pikkus;3
24;80,2;T;alla 2a;pikkus;3
0;48,5;T;alla 2a;pikkus;10
1;51,5;T;alla 2a;pikkus;10
2;54,5;T;alla 2a;pikkus;10
3;57;T;alla 2a;pikkus;10
4;59,8;T;alla 2a;pikkus;10
5;61,8;T;alla 2a;pikkus;10
6;64;T;alla 2a;pikkus;10
7;65,9;T;alla 2a;pikkus;10
8;67,5;T;alla 2a;pikkus;10
9;68,9;T;alla 2a;pikkus;10
10;69,8;T;alla 2a;pikkus;10
11;70,8;T;alla 2a;pikkus;10
12;72;T;alla 2a;pikkus;10
13;73;T;alla 2a;pikkus;10
14;74;T;alla 2a;pikkus;10
15;75;T;alla 2a;pikkus;10
16;76;T;alla 2a;pikkus;10
17;77;T;alla 2a;pikkus;10
18;77,8;T;alla 2a;pikkus;10
19;78,8;T;alla 2a;pikkus;10
20;79,5;T;alla 2a;pikkus;10
21;80;T;alla 2a;pikkus;10
22;81;T;alla 2a;pikkus;10
23;82;T;alla 2a;pikkus;10
24;83;T;alla 2a;pikkus;10
0;49,8;T;alla 2a;pikkus;25
1;53;T;alla 2a;pikkus;25
2;56;T;alla 2a;pikkus;25
3;58,8;T;alla 2a;pikkus;25
4;61;T;alla 2a;pikkus;25
5;63;T;alla 2a;pikkus;25
6;65;T;alla 2a;pikkus;25
7;67;T;alla 2a;pikkus;25
8;68,8;T;alla 2a;pikkus;25
9;70,2;T;alla 2a;pikkus;25
10;71,5;T;alla 2a;pikkus;25
11;72,8;T;alla 2a;pikkus;25
12;73,8;T;alla 2a;pikkus;25
13;75;T;alla 2a;pikkus;25
14;76;T;alla 2a;pikkus;25
15;77;T;alla 2a;pikkus;25
16;78;T;alla 2a;pikkus;25
17;79;T;alla 2a;pikkus;25
18;80;T;alla 2a;pikkus;25
19;81;T;alla 2a;pikkus;25
20;81,8;T;alla 2a;pikkus;25
21;82,8;T;alla 2a;pikkus;25
22;83,5;T;alla 2a;pikkus;25
23;84,2;T;alla 2a;pikkus;25
24;85;T;alla 2a;pikkus;25
0;51,5;T;alla 2a;pikkus;50
1;54,5;T;alla 2a;pikkus;50
2;57,5;T;alla 2a;pikkus;50
3;60;T;alla 2a;pikkus;50
4;62,5;T;alla 2a;pikkus;50
5;64,8;T;alla 2a;pikkus;50
6;66,8;T;alla 2a;pikkus;50
7;68,5;T;alla 2a;pikkus;50
8;70;T;alla 2a;pikkus;50
9;71,8;T;alla 2a;pikkus;50
10;73;T;alla 2a;pikkus;50
11;74,2;T;alla 2a;pikkus;50
12;75,8;T;alla 2a;pikkus;50
13;76,8;T;alla 2a;pikkus;50
14;78;T;alla 2a;pikkus;50
15;79;T;alla 2a;pikkus;50
16;80;T;alla 2a;pikkus;50
17;81;T;alla 2a;pikkus;50
18;81,8;T;alla 2a;pikkus;50
19;82,8;T;alla 2a;pikkus;50
20;83,8;T;alla 2a;pikkus;50
21;84,8;T;alla 2a;pikkus;50
22;85,8;T;alla 2a;pikkus;50
23;86,8;T;alla 2a;pikkus;50
24;87,8;T;alla 2a;pikkus;50
0;52,6;T;alla 2a;pikkus;75
1;56;T;alla 2a;pikkus;75
2;59;T;alla 2a;pikkus;75
3;61,8;T;alla 2a;pikkus;75
4;64;T;alla 2a;pikkus;75
5;66,8;T;alla 2a;pikkus;75
6;68,8;T;alla 2a;pikkus;75
7;70,5;T;alla 2a;pikkus;75
8;72;T;alla 2a;pikkus;75
9;73,8;T;alla 2a;pikkus;75
10;75;T;alla 2a;pikkus;75
11;76,5;T;alla 2a;pikkus;75
12;77,8;T;alla 2a;pikkus;75
13;79;T;alla 2a;pikkus;75
14;80;T;alla 2a;pikkus;75
15;81;T;alla 2a;pikkus;75
16;82;T;alla 2a;pikkus;75
17;83;T;alla 2a;pikkus;75
18;84;T;alla 2a;pikkus;75
19;84,8;T;alla 2a;pikkus;75
20;85,8;T;alla 2a;pikkus;75
21;86,8;T;alla 2a;pikkus;75
22;87,8;T;alla 2a;pikkus;75
23;88,8;T;alla 2a;pikkus;75
24;89,8;T;alla 2a;pikkus;75
0;53,8;T;alla 2a;pikkus;90
1;57;T;alla 2a;pikkus;90
2;60;T;alla 2a;pikkus;90
3;63;T;alla 2a;pikkus;90
4;65,5;T;alla 2a;pikkus;90
5;68;T;alla 2a;pikkus;90
6;70;T;alla 2a;pikkus;90
7;72;T;alla 2a;pikkus;90
8;73,8;T;alla 2a;pikkus;90
9;75,5;T;alla 2a;pikkus;90
10;76,5;T;alla 2a;pikkus;90
11;78;T;alla 2a;pikkus;90
12;79,2;T;alla 2a;pikkus;90
13;80,8;T;alla 2a;pikkus;90
14;81,8;T;alla 2a;pikkus;90
15;82,8;T;alla 2a;pikkus;90
16;83,8;T;alla 2a;pikkus;90
17;84,8;T;alla 2a;pikkus;90
18;85,8;T;alla 2a;pikkus;90
19;86,8;T;alla 2a;pikkus;90
20;87,8;T;alla 2a;pikkus;90
21;89;T;alla 2a;pikkus;90
22;90;T;alla 2a;pikkus;90
23;91;T;alla 2a;pikkus;90
24;92;T;alla 2a;pikkus;90
0;55;T;alla 2a;pikkus;97
1;58;T;alla 2a;pikkus;97
2;61;T;alla 2a;pikkus;97
3;64;T;alla 2a;pikkus;97
4;67;T;alla 2a;pikkus;97
5;69,8;T;alla 2a;pikkus;97
6;71,8;T;alla 2a;pikkus;97
7;73,8;T;alla 2a;pikkus;97
8;75,5;T;alla 2a;pikkus;97
9;76,8;T;alla 2a;pikkus;97
10;78,5;T;alla 2a;pikkus;97
11;79,8;T;alla 2a;pikkus;97
12;81;T;alla 2a;pikkus;97
13;82,8;T;alla 2a;pikkus;97
14;83,8;T;alla 2a;pikkus;97
15;85;T;alla 2a;pikkus;97
16;86,5;T;alla 2a;pikkus;97
17;87,8;T;alla 2a;pikkus;97
18;88,8;T;alla 2a;pikkus;97
19;89,8;T;alla 2a;pikkus;97
20;90,8;T;alla 2a;pikkus;97
21;91,8;T;alla 2a;pikkus;97
22;93;T;alla 2a;pikkus;97
23;94;T;alla 2a;pikkus;97
24;95;T;alla 2a;pikkus;97
0;35;P;alla 2a;pea;3
1;36,3;P;alla 2a;pea;3
2;37,4;P;alla 2a;pea;3
3;38,4;P;alla 2a;pea;3
4;39,4;P;alla 2a;pea;3
5;40,1;P;alla 2a;pea;3
6;41,1;P;alla 2a;pea;3
7;42;P;alla 2a;pea;3
8;42,8;P;alla 2a;pea;3
9;43,2;P;alla 2a;pea;3
10;43,8;P;alla 2a;pea;3
11;44,3;P;alla 2a;pea;3
12;44,7;P;alla 2a;pea;3
13;45;P;alla 2a;pea;3
14;45,3;P;alla 2a;pea;3
15;45,6;P;alla 2a;pea;3
16;45,9;P;alla 2a;pea;3
17;46;P;alla 2a;pea;3
